id,phase,category,title,prompt,best_for,framework,tags
P1-001,Phase 1,Product Mockups,Premium Studio Product Mockup,"Create a premium studio mockup of [product] for [brand] on a clean matte surface with soft shadows, elegant reflections, and a minimalist background in [color palette]. Use commercial product photography, sharp focus, realistic materials, and a high-end advertising look with generous negative space.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, premium-studio-product-mockup, chatgpt-image-2, visual-prompt"
P1-002,Phase 1,Product Mockups,Lifestyle Product Mockup,"Create a realistic lifestyle mockup of [product] being used by [target audience] in [environment]. Show the product clearly as the hero with warm natural lighting, authentic details, polished editorial photography, and an aspirational but believable mood.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, lifestyle-product-mockup, chatgpt-image-2, visual-prompt"
P1-003,Phase 1,Product Mockups,Floating Product Mockup,"Create a floating product mockup of [product] suspended in midair with subtle motion, soft studio lighting, and supporting elements like [ingredient/material/feature elements]. Use a premium advertising composition with depth and elegant spacing.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, floating-product-mockup, chatgpt-image-2, visual-prompt"
P1-004,Phase 1,Product Mockups,E-Commerce White Background Mockup,"Create a clean e-commerce product mockup of [product] on a pure white background. Show the front, side, and detail angle in one polished composition with realistic shadows, accurate proportions, high clarity, and marketplace-ready styling.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, e-commerce-white-background-mockup, chatgpt-image-2, visual-prompt"
P1-005,Phase 1,Product Mockups,Hero Website Product Mockup,"Create a hero section visual for a website featuring [product]. Place the product prominently on the right side with space on the left for headline and call-to-action. Use modern gradients, soft shadows, layered shapes, and a clean brand aesthetic.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, hero-website-product-mockup, chatgpt-image-2, visual-prompt"
P1-006,Phase 1,Product Mockups,Social Media Product Mockup,"Create a polished product mockup of [product] for [brand]. Make the product the clear hero, use [color palette], realistic materials, accurate perspective, premium lighting, soft shadows, and clean negative space for marketing copy. Avoid clutter, random text, distorted packaging, and collage layouts.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, social-media-product-mockup, chatgpt-image-2, visual-prompt"
P1-007,Phase 1,Product Mockups,Product Bundle Mockup,"Create a polished product mockup of [product] for [brand]. Make the product the clear hero, use [color palette], realistic materials, accurate perspective, premium lighting, soft shadows, and clean negative space for marketing copy. Avoid clutter, random text, distorted packaging, and collage layouts.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, product-bundle-mockup, chatgpt-image-2, visual-prompt"
P1-008,Phase 1,Product Mockups,Seasonal Product Mockup,"Create a polished product mockup of [product] for [brand]. Make the product the clear hero, use [color palette], realistic materials, accurate perspective, premium lighting, soft shadows, and clean negative space for marketing copy. Avoid clutter, random text, distorted packaging, and collage layouts.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, seasonal-product-mockup, chatgpt-image-2, visual-prompt"
P1-009,Phase 1,Product Mockups,Minimal Flat Lay Product Mockup,"Create a polished product mockup of [product] for [brand]. Make the product the clear hero, use [color palette], realistic materials, accurate perspective, premium lighting, soft shadows, and clean negative space for marketing copy. Avoid clutter, random text, distorted packaging, and collage layouts.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, minimal-flat-lay-product-mockup, chatgpt-image-2, visual-prompt"
P1-010,Phase 1,Product Mockups,Product-in-Hand Mockup,"Create a polished product mockup of [product] for [brand]. Make the product the clear hero, use [color palette], realistic materials, accurate perspective, premium lighting, soft shadows, and clean negative space for marketing copy. Avoid clutter, random text, distorted packaging, and collage layouts.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-mockups, product-in-hand-mockup, chatgpt-image-2, visual-prompt"
P1-011,Phase 1,Product Design Concepts,Futuristic Product Design Concept,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, futuristic-product-design-concept, chatgpt-image-2, visual-prompt"
P1-012,Phase 1,Product Design Concepts,Minimalist Product Redesign,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, minimalist-product-redesign, chatgpt-image-2, visual-prompt"
P1-013,Phase 1,Product Design Concepts,Sustainable Product Design,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, sustainable-product-design, chatgpt-image-2, visual-prompt"
P1-014,Phase 1,Product Design Concepts,Luxury Product Design,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, luxury-product-design, chatgpt-image-2, visual-prompt"
P1-015,Phase 1,Product Design Concepts,Kid-Friendly Product Design,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, kid-friendly-product-design, chatgpt-image-2, visual-prompt"
P1-016,Phase 1,Product Design Concepts,Smart Product Design,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, smart-product-design, chatgpt-image-2, visual-prompt"
P1-017,Phase 1,Product Design Concepts,Travel-Friendly Product Design,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, travel-friendly-product-design, chatgpt-image-2, visual-prompt"
P1-018,Phase 1,Product Design Concepts,Modular Product System,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, modular-product-system, chatgpt-image-2, visual-prompt"
P1-019,Phase 1,Product Design Concepts,Ergonomic Product Design,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, ergonomic-product-design, chatgpt-image-2, visual-prompt"
P1-020,Phase 1,Product Design Concepts,Retro-Modern Product Concept,"Design a production-ready concept for [product] aimed at [target audience]. Show refined form, practical function, realistic materials, ergonomic details, and a clear three-quarter view. Use [color palette], studio lighting, and a clean industrial design presentation.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"product-design-concepts, retro-modern-product-concept, chatgpt-image-2, visual-prompt"
P1-021,Phase 1,Packaging Design,Premium Packaging Design,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, premium-packaging-design, chatgpt-image-2, visual-prompt"
P1-022,Phase 1,Packaging Design,Eco-Friendly Packaging Design,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, eco-friendly-packaging-design, chatgpt-image-2, visual-prompt"
P1-023,Phase 1,Packaging Design,Bold Shelf-Ready Packaging,"Design retail-ready packaging for [product] by [brand]. Use [color palette], clear hierarchy, refined typography space, realistic materials, and a polished studio presentation. Show the package upright in a three-quarter view with soft shadows and no random text.","Visual ideation, product concepts, mockups, brand content, campaign assets",Subject + context + style + environment + materials + camera/framing + lighting + brand constraints + output format,"packaging-design, bold-shelf-ready-packaging, chatgpt-image-2, visual-prompt"
